6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,
8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,
14,15,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,14,15,0,14,15,
14,15,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,6,7,0,14,15,
14,15,0,5,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,8,9,0,14,15,
14,15,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,7,0,0,0,14,15,
14,15,0,0,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,6,7,8,9,0,0,0,14,15,
14,15,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,7,6,7,8,9,0,0,0,0,0,14,15,
14,15,0,0,22,22,0,0,0,0,0,6,7,0,0,6,7,8,9,8,9,0,0,0,0,0,0,0,14,15,
14,15,0,0,0,22,0,0,0,6,7,8,9,0,0,8,9,0,0,0,0,0,22,22,22,22,22,22,14,15,
14,15,0,0,0,0,0,6,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,
14,15,0,0,22,0,0,8,9,0,0,0,0,0,0,0,6,7,6,7,6,7,0,0,0,0,0,0,14,15,
14,15,0,0,1,0,14,15,3,0,0,0,0,0,0,0,8,9,8,9,8,9,6,7,0,0,0,0,14,15,
14,15,0,0,1,0,14,15,1,14,15,14,15,0,0,0,0,0,0,0,0,0,8,9,6,7,0,0,14,15,
14,15,0,0,1,0,14,15,1,14,15,6,7,0,0,0,0,0,0,0,0,0,0,0,8,9,6,7,14,15,
14,15,0,0,1,0,14,15,1,14,15,8,9,6,7,6,7,0,0,0,0,0,0,0,0,0,8,9,14,15,
14,15,0,0,1,0,14,15,1,14,15,0,0,8,9,8,9,6,7,6,7,0,0,0,0,0,0,0,14,15,
14,15,0,0,1,0,6,7,1,14,15,0,0,0,0,0,0,8,9,8,9,6,7,6,7,0,0,0,14,15,
14,15,0,0,1,0,8,9,1,14,15,0,3,2,2,2,2,2,2,3,0,8,9,8,9,6,7,0,14,15,
14,15,0,0,1,0,0,0,1,6,7,0,1,0,6,7,0,0,0,1,0,0,0,0,0,8,9,0,14,15,
14,15,3,2,3,2,2,2,3,8,9,0,1,0,8,9,6,7,0,3,2,2,3,0,0,0,6,7,14,15,
14,15,1,0,6,7,0,0,1,0,6,7,3,2,3,0,8,9,6,7,0,0,1,0,0,0,8,9,14,15,
14,15,1,0,8,9,0,0,1,0,8,9,6,7,1,0,0,0,8,9,6,7,3,2,2,3,0,0,14,15,
14,15,1,6,7,0,0,0,1,0,0,0,8,9,1,0,0,0,0,0,8,9,6,7,0,1,0,0,14,15,
14,15,1,8,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,9,0,1,0,0,14,15,
14,15,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,0,14,15,
14,15,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,14,15,0,0,0,3,3,0,14,15,
14,15,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,14,15,0,0,0,0,14,15,
6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,
8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,
